,log luminescence_A549_form_screen_IR_Reductive_amination,log luminescence_IR_BL_AG_4CR_IR_4CR_aldehyde,log luminescence_IR_BL_AG_3CR_sting_IR_3CR_sting,log luminescence_Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched,Peptide abundance_Luke_Raj_Branched_ester_RM_Michael_addition_branched,log luminescence_RM_BL_AG_carbonate_RM_carbonate,FVII silencing_Zhou_dendrimer_Zhou_dendrimer,log luminescence_A549_form_screen_RM_Michael_addition_branched,luminescence_Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences,Luminescence_Liu_Phospholipids_Liu_iPhos,FVII silencing_Whitehead_siRNA_whitehead_lipidoid,FFL silencing_Zhou_dendrimer_Zhou_dendrimer,log luminescence_LM_3CR_LM_3CR,FFL silencing_Whitehead_siRNA_whitehead_lipidoid
0,1.9120292204740552,1.244356913396312,1.1340665948028863,1.1925894008735256,1.2186661497590578,1.1845873488139782,,1.1778389245945888,,1.0636920702681885,0.8664897819729622,1.0230013457426392,0.8701986618541098,0.8147225151953962
1,,,,,,,,,2.5602526731597486,,,,,
2,,,,,,,,,1.0675507527618935,,,,,
3,,,,,,,,,2.64785211959795,,,,,
4,,,,,,,,,3.750540249579352,,,,,
5,,,,,,,,,0.8989557987378061,,,,,
6,,,,,,,,,1.988344716270689,,,,,
7,,,,,,,,,1.3311664177244378,,,,,
8,,,,,,,,,2.039211516236931,,,,,
9,0.9106824199469263,1.046174471143924,0.8408011754227135,1.100202771659488,0.9941059146038748,1.200931548030356,,0.6882282961765758,,1.2545936437733805,0.9959881449487376,0.9112330500095199,0.9972334385622242,0.8606294109671723
10,,,,,,,,,0.8885242879603842,,,,,
11,,,,,,,,,1.0935311840363762,,,,,
12,,,,,,,,,1.1974384729276386,,,,,
13,,,,,,,,,1.3372304395786374,,,,,
14,,,,,,,,,0.4226151529887265,,,,,
15,,,,,,,,,1.9156298999843875,,,,,
16,,,,,,,,,0.8223010846273207,,,,,
17,,,,,,,,,1.9476592893467186,,,,,
18,1.1620385300747855,1.4442847692062075,1.7471487599117157,1.0301797513354418,1.0129054264109707,1.0634242709504884,,1.385898761052296,,1.0779839566371718,1.0129029572290926,0.9094250159252446,1.0750003682848617,1.1732756443991272
19,,,,,,,,,2.383983534929321,,,,,
20,,,,,,,,,1.5139231975252812,,,,,
21,,,,,,,,,1.6783361368111207,,,,,
22,,,,,,,,,1.984945339057811,,,,,
23,,,,,,,,,2.8097899313543317,,,,,
24,,,,,,,,,2.343714163579262,,,,,
25,,,,,,,,,0.8663483482634434,,,,,
26,,,,,,,,,1.4795803869485964,,,,,
27,0.7484831123367263,1.0308369035396607,0.6577011903900434,0.9480844466991708,0.9356657689594379,0.9768134509521418,,0.7845609997521166,,0.9132406833678292,1.0512381656398029,0.9173625108637102,1.0272868735018286,1.0174774894594396
28,,,,,,,,,1.430748965560759,,,,,
29,,,,,,,,,1.3081466780698048,,,,,
30,,,,,,,,,0.7109848687118852,,,,,
31,,,,,,,,,0.5555276776838549,,,,,
32,,,,,,,,,0.40882351366096403,,,,,
33,,,,,,,,,0.9026618124967383,,,,,
34,,,,,,,,,0.24439122458300588,,,,,
35,,,,,,,,,0.536587690893608,,,,,
36,0.9693699833450843,1.354120909908855,1.1752226150097689,0.993247243788376,0.8585816634350756,0.9163464236795834,,1.062297446764878,,1.2618507511003556,1.0128238979441748,1.0017790099533372,1.0673092268525988,1.0567053665317552
37,,,,,,,,,2.1139247588517227,,,,,
38,,,,,,,,,1.3260346398110519,,,,,
39,,,,,,,,,2.401345714884501,,,,,
40,,,,,,,,,1.8613590966552322,,,,,
41,,,,,,,,,1.407722974919347,,,,,
42,,,,,,,,,1.7508950762585704,,,,,
43,,,,,,,,,1.6717863920457996,,,,,
44,,,,,,,,,1.5954233932457198,,,,,
